Verband;Saison;Meisterschaft;Region;Altersklasse;Liga;Gruppe;VereinVerband;VereinRegion;VereinNr;VereinName;MannschaftAltersklasse;MannschaftNr;Rang;Begegnungen;Siege;Unentschieden;Niederlagen;BaelleGewonnen;BaelleVerloren;SaetzeGewonnen;SaetzeVerloren;SpieleGewonnen;SpieleVerloren;PunkteGewonnen;PunkteVerloren;Status
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42608;TSV Eintracht Belle;Erwachsene;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42706;SC GW Paderborn;Erwachsene;1;2;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42718;SV Heide Paderborn;Erwachsene;1;3;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42507;Sportverein 1930 Bergheim;Erwachsene;1;4;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42604;TTS Detmold e.V.;Erwachsene;1;5;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42702;TTV Salzkotten;Erwachsene;1;6;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42505;Tischtennisverein Höxter;Erwachsene;1;7;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42726;TSV Schloß Neuhaus;Erwachsene;1;8;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42610;TuS Helpup;Erwachsene;1;9;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;Bezirksoberliga Erwachsene;Bezirksoberliga Erwachsene;WTTV;Ostwestfalen/Lippe;42724;SV Rot-Weiß Alfen;Erwachsene;1;10;0;0;0;0;0;0;0;0;0;0;0;0;
